Date,unmpl_fl,30ymtgR_fl,10yinfR,10ry_us,serv2debtsa_us,effmtgR_us,cnsmcrdtout_us,cnsmconf_fl,fedfund,hhdebt2inc,umpl_us,payroll_us,yc530,ois_us
2008-01-01,4.2,5.47,2.7175,1.2729,13.288177,5.53,6.4,86.7,3.22,134.87,4.8,0.001,157.952,-215.0
2008-02-01,4.4,5.78,2.8928,1.068,13.288177,5.53,6.91,75.9,3.01,134.87,4.8,-0.071,193.975,-230.0
2008-03-01,4.6,5.63,2.778,1.0835,13.191871,5.42,1.83,62.5,2.51,134.66,5.0,-0.07,185.267,-250.85
2008-04-01,4.9,5.72,2.6929,1.4466,13.191871,5.42,1.76,47.6,2.37,134.66,5.0,-0.219,145.747,-215.1
2008-05-01,5.2,5.89,2.97,1.532,13.191871,5.42,1.11,44.6,1.98,134.66,5.0,-0.19,130.564,-203.4
2008-06-01,5.5,6.13,3.0135,1.4246,12.824936,5.38,-0.32,31.2,2.47,130.25,5.33,-0.158,119.763,-66.1
2008-07-01,5.8,6.2,2.788,1.6379,12.824936,5.38,-0.96,41.8,2.09,130.25,5.33,-0.197,133.734,-23.25
2008-08-01,6.1,6.15,2.664,1.6645,12.824936,5.38,-0.93,50.2,1.94,130.25,5.33,-0.283,135.117,7.3
2008-09-01,6.4,5.84,2.176,2.2359,12.881071,5.33,-4.87,53.5,2.03,132.2,6.0,-0.45,133.745,-24.15
2008-10-01,6.7,6.3,1.8475,3.127,12.881071,5.33,3.9,26.9,0.22,132.2,6.0,-0.465,162.008,-136.65
2008-11-01,7.1,5.62,1.204,2.5322,12.881071,5.33,-5.98,33.2,0.52,132.2,6.0,-0.748,158.66,-164.05
2008-12-01,7.4,5.17,1.526,2.0886,12.809239,5.25,-6.48,30.8,0.14,130.19,6.87,-0.698,112.086,-184.1
2009-01-01,7.8,5.23,2.042,1.7437,12.809239,5.25,3.22,44.8,0.23,130.19,6.87,-0.782,178.892,-176.25
2009-02-01,8.2,5.15,2.1063,2.0197,12.809239,5.25,-8.34,18.8,0.22,130.19,6.87,-0.752,175.705,-148.6
2009-03-01,8.5,4.86,2.3822,1.3523,12.704994,5.13,-14.37,20.8,0.16,130.61,8.27,-0.82,187.552,-42.1
2009-04-01,8.8,4.83,2.0406,1.6442,12.704994,5.13,-3.84,29.7,0.2,130.61,8.27,-0.669,202.128,-24.2
2009-05-01,9.4,5.09,2.3674,1.618,12.704994,5.13,-13.91,57.1,0.19,130.61,8.27,-0.355,199.54,-1.35
2009-06-01,9.7,5.25,2.5653,1.764,12.37698,5.0,-3.61,51.1,0.22,129.05,9.3,-0.467,177.404,-5.0
2009-07-01,9.9,5.23,2.4622,1.7052,12.37698,5.0,-2.93,41.6,0.18,129.05,9.3,-0.342,178.315,-4.65
2009-08-01,10.1,5.17,2.3295,1.74,12.37698,5.0,-8.17,49.0,0.15,129.05,9.3,-0.181,179.238,-3.9
2009-09-01,10.3,5.03,2.344,1.5316,12.252292,4.87,-4.13,41.2,0.07,129.31,9.63,-0.239,173.76,-2.95
2009-10-01,10.5,5.04,2.5176,1.366,12.252292,4.87,-7.53,46.0,0.11,129.31,9.63,-0.18,191.612,-5.2
2009-11-01,10.7,4.82,2.5678,1.0796,12.252292,4.87,-15.57,48.0,0.13,129.31,9.63,-0.002,219.139,-6.9
2009-12-01,10.8,5.2,2.8549,1.4281,11.958434,4.8,-8.74,43.5,0.05,127.8,9.93,-0.252,196.156,-3.9
2010-01-01,10.9,4.98,2.6895,1.2644,11.958434,4.8,-6.55,48.2,0.12,127.8,9.93,-0.012,216.448,-3.5
2010-02-01,10.9,4.97,2.536,1.4533,11.958434,4.8,-7.2,42.6,0.13,127.8,9.93,-0.093,225.416,-0.35
2010-03-01,10.9,5.04,2.5707,1.565,11.668577,4.69,-4.45,41.9,0.09,126.09,9.83,0.163,216.867,5.45
2010-04-01,10.9,5.03,2.766,1.2531,11.668577,4.69,-1.28,52.2,0.2,126.09,9.83,0.25,210.0,8.55
2010-05-01,10.8,4.82,2.545,1.2453,11.668577,4.69,-14.0,51.4,0.19,126.09,9.83,0.53,211.166,5.9
2010-06-01,10.8,4.61,2.3566,1.0777,11.330328,4.67,-5.56,38.0,0.09,123.28,9.63,-0.144,211.445,5.68
2010-07-01,10.8,4.49,2.247,1.1202,11.330328,4.67,-3.82,31.5,0.18,123.28,9.63,-0.081,239.093,3.3
2010-08-01,10.8,4.28,2.01,0.9181,11.330328,4.67,-6.44,28.4,0.21,123.28,9.63,0.003,218.359,-1.52
2010-09-01,10.8,4.37,2.197,0.691,11.139354,4.63,-4.69,42.8,0.15,121.53,9.47,-0.083,242.121,-5.0
2010-10-01,10.8,4.3,2.478,0.4462,11.139354,4.63,-6.71,43.5,0.2,121.53,9.47,0.28,281.602,-4.57
2010-11-01,10.8,4.52,2.549,0.651,11.139354,4.63,-4.36,37.5,0.2,121.53,9.47,0.134,264.356,-0.58
2010-12-01,10.7,4.95,2.62,0.9645,10.990904,4.6,-11.92,48.6,0.13,120.11,9.5,0.082,232.744,-1.0
2011-01-01,10.6,4.84,2.68,1.0521,10.990904,4.6,-3.68,53.1,0.17,120.11,9.5,0.003,262.984,-2.88
2011-02-01,10.5,4.86,2.724,1.01,10.990904,4.6,-1.68,57.5,0.16,120.11,9.5,0.215,236.168,-4.0
2011-03-01,10.4,4.86,2.764,0.9624,10.79602,4.47,1.93,41.8,0.1,118.07,9.03,0.224,223.025,-4.38
2011-04-01,10.3,4.77,2.854,0.7061,10.79602,4.47,-1.44,53.7,0.09,118.07,9.03,0.326,242.906,-7.8
2011-05-01,10.2,4.61,2.67,0.7547,10.79602,4.47,-1.72,57.5,0.1,118.07,9.03,0.1,252.463,-7.55
2011-06-01,10.1,4.53,2.82,0.6934,10.709566,4.45,3.74,49.1,0.07,116.7,9.07,0.232,260.985,-3.85
2011-07-01,10.0,4.47,2.77,0.3516,10.709566,4.45,0.21,41.9,0.11,116.7,9.07,0.056,276.332,-1.6
2011-08-01,9.9,4.29,2.4327,0.1379,10.709566,4.45,-0.25,44.8,0.08,116.7,9.07,0.131,263.902,-4.3
2011-09-01,9.7,4.05,2.1883,0.1439,10.589988,4.43,2.08,40.4,0.06,115.09,9.0,0.223,196.181,-2.8
2011-10-01,9.6,4.1,2.41,0.0252,10.589988,4.43,-0.05,41.2,0.09,115.09,9.0,0.211,217.031,-2.4
2011-11-01,9.4,4.0,2.3893,-0.0222,10.589988,4.43,3.83,40.3,0.1,115.09,9.0,0.144,210.333,-1.45
2011-12-01,9.3,3.92,2.2732,-0.1243,10.471565,4.29,-1.91,45.3,0.04,114.27,8.63,0.201,206.229,-4.25
2012-01-01,9.2,3.87,2.5351,-0.3068,10.471565,4.29,0.32,51.2,0.11,114.27,8.63,0.341,223.336,0.7
2012-02-01,9.1,3.88,2.64,-0.3034,10.471565,4.29,2.25,54.6,0.1,114.27,8.63,0.278,222.542,2.85
2012-03-01,9.0,3.98,2.6564,-0.139,10.262526,4.27,0.04,57.0,0.09,111.75,8.27,0.224,229.762,4.4
2012-04-01,8.9,3.85,2.595,-0.3571,10.262526,4.27,-4.49,62.3,0.16,111.75,8.27,0.083,230.324,3.15
2012-05-01,8.9,3.77,2.4424,-0.5677,10.262526,4.27,1.7,53.5,0.16,111.75,8.27,0.107,198.675,7.8
2012-06-01,8.8,3.75,2.415,-0.4951,10.153926,4.22,-1.16,62.2,0.09,110.44,8.2,0.073,203.512,8.15
2012-07-01,8.6,3.64,2.4487,-0.7235,10.153926,4.22,-1.33,68.6,0.13,110.44,8.2,0.145,196.523,1.9
2012-08-01,8.5,3.62,2.5207,-0.7175,10.153926,4.22,3.92,56.5,0.13,110.44,8.2,0.176,208.189,-0.3
2012-09-01,8.4,3.5,2.6618,-0.7949,10.219771,4.19,0.16,52.3,0.09,110.75,8.03,0.183,219.801,-0.05
2012-10-01,8.3,3.5,2.767,-0.8139,10.219771,4.19,1.84,55.4,0.18,110.75,8.03,0.16,213.499,-1.0
2012-11-01,8.2,3.49,2.725,-0.8556,10.219771,4.19,2.42,72.1,0.16,110.75,8.03,0.159,219.023,-2.9
2012-12-01,8.1,3.44,2.705,-0.7513,9.895309,4.14,-5.85,53.7,0.09,106.85,7.8,0.243,222.546,1.05
2013-01-01,8.0,3.64,2.8228,-0.5837,9.895309,4.14,4.81,65.5,0.15,106.85,7.8,0.189,229.208,0.65
2013-02-01,8.0,3.67,2.788,-0.6717,9.895309,4.14,5.62,78.3,0.14,106.85,7.8,0.285,232.284,0.05
2013-03-01,7.9,3.72,2.768,-0.6729,10.264721,4.01,-0.85,58.4,0.09,111.16,7.73,0.142,233.634,-1.2
