Date,CREDIT SCORE RANGE NUM,LTV_ZHVI,FL_30-89,FL_90
1/1/2008,3,0.815061885,4.4,2.5
2/1/2008,3,0.826807444,4,2.6
3/1/2008,3,0.85192635,4.1,2.7
4/1/2008,3,0.844987886,4,2.8
5/1/2008,3,0.853222635,4.2,2.9
6/1/2008,3,0.852644355,4.1,3.1
7/1/2008,3,0.855731173,4.2,3.6
8/1/2008,3,0.880218056,4.6,3.7
9/1/2008,3,0.852250805,4.7,3.8
10/1/2008,3,0.868576693,5,4.3
11/1/2008,3,0.944441945,5.2,4.5
12/1/2008,3,0.961710375,5.5,5
1/1/2009,3,0.959389048,5.4,5.4
2/1/2009,3,0.972113112,5,5.7
3/1/2009,3,1.015160495,4.8,6
4/1/2009,3,1.07389883,4.5,6.3
5/1/2009,3,1.026636952,4.5,6.5
6/1/2009,3,1.12642425,4.6,6.8
7/1/2009,3,1.116778019,4.7,7
8/1/2009,3,1.093135345,4.8,7.3
9/1/2009,3,1.048163033,4.8,8
10/1/2009,3,1.113101132,4.7,8.4
11/1/2009,3,1.067673689,4.6,8.6
12/1/2009,3,1.117844965,4.5,8.7
1/1/2010,3,1.093941542,4.4,8.9
2/1/2010,3,1.126345161,4.1,8.8
3/1/2010,3,1.08389111,3.8,8.6
4/1/2010,3,1.179213435,3.6,8.5
5/1/2010,3,1.138034671,3.8,8.4
6/1/2010,3,1.179061781,3.8,8.2
7/1/2010,3,1.179383537,4,8.1
8/1/2010,3,1.172758323,4,8
9/1/2010,3,1.1917716,3.9,7.9
10/1/2010,3,1.243367255,4,8
11/1/2010,3,1.202732467,3.8,8.1
12/1/2010,3,1.227607788,3.9,8.2
1/1/2011,3,1.260272207,3.9,8.3
2/1/2011,3,1.202497236,3.6,8.2
3/1/2011,3,1.215032283,3.3,8.3
4/1/2011,3,1.163565686,3.2,8.3
5/1/2011,3,1.246764017,3.3,8.4
6/1/2011,3,1.202895517,3.3,8.2
7/1/2011,3,1.305610865,3.5,8.2
8/1/2011,3,1.276802596,3.7,8.4
9/1/2011,3,1.254900251,3.5,8.6
10/1/2011,3,1.355775525,3.6,8.6
11/1/2011,3,1.295732473,3.5,8.7
12/1/2011,3,1.297604936,3.6,8.5
1/1/2012,3,1.327911243,3.8,8.6
2/1/2012,3,1.333715847,3.4,8.5
3/1/2012,3,1.335146289,3.3,8.4
4/1/2012,3,1.299825975,3.1,8.4
5/1/2012,3,1.362688376,3.2,8.4
6/1/2012,3,1.362661509,3.2,8.4
7/1/2012,3,1.357863521,3.3,8.1
8/1/2012,3,1.347989483,3.4,7.9
9/1/2012,3,1.369802526,3.4,7.8
10/1/2012,3,1.295507709,3.5,7.6
11/1/2012,3,1.290478421,3.4,7.4
12/1/2012,3,1.260577471,3.6,7.2
1/1/2013,3,1.290122119,3.5,7
2/1/2013,3,1.220306883,3.2,6.9
3/1/2013,3,1.187750833,3.1,6.7
4/1/2013,3,1.161458514,2.8,6.7
5/1/2013,3,1.136855124,2.8,6.4
6/1/2013,3,1.148044524,2.8,6.1
7/1/2013,3,1.153085006,2.8,5.3
