Date,AvgMonthTemp,AvgMonthPrecipitation,AvgMonthWindSpeed,CO2MonthAvgEmission,DisasterPresent,weather_Month
1/1/2008,58.1,2.95,12.29354839,2008.0417,0,1
2/1/2008,62.9,4.24,12.75517241,2008.125,0,2
3/1/2008,64.4,3.57,13.73870968,2008.2083,0,3
4/1/2008,69.2,3.61,13.36,2008.2917,0,4
5/1/2008,75.9,1.63,13.62903226,2008.375,0,5
6/1/2008,80.5,6.99,13.20333333,2008.4583,0,6
7/1/2008,81.0,8.36,12.63225806,2008.5417,0,7
8/1/2008,81.2,12.94,14.42258065,2008.625,1,8
9/1/2008,79.6,3.57,12.70666667,2008.7083,1,9
10/1/2008,71.3,3.79,12.79354839,2008.7917,0,10
11/1/2008,61.4,1.42,11.97333333,2008.875,1,11
12/1/2008,62.0,2.05,12.35483871,2008.9583,0,12
1/1/2009,57.4,1.85,12.44193548,2009.0417,0,1
2/1/2009,57.8,1.3,13.62142857,2009.125,0,2
3/1/2009,65.5,2.62,13.52580645,2009.2083,0,3
4/1/2009,69.7,3.83,15.17666667,2009.2917,0,4
5/1/2009,76.7,9.86,13.69354839,2009.375,0,5
6/1/2009,81.8,6.22,12.26666667,2009.4583,0,6
7/1/2009,81.6,6.61,12.49032258,2009.5417,0,7
8/1/2009,82.0,6.77,11.57741935,2009.625,1,8
9/1/2009,84.4,6.47,10.46,2009.7083,0,9
10/1/2009,75.2,2.2,10.82903226,2009.7917,0,10
11/1/2009,66.0,2.15,11.02333333,2009.875,1,11
12/1/2009,60.5,5.88,12.03548387,2009.9583,0,12
1/1/2010,52.4,4.41,14.50645161,2010.0417,0,1
2/1/2010,52.3,3.72,14.21428571,2010.125,0,2
3/1/2010,58.7,6.0,15.11290323,2010.2083,0,3
4/1/2010,69.5,2.94,13.35666667,2010.2917,0,4
5/1/2010,78.3,4.28,11.93225806,2010.375,0,5
6/1/2010,83.0,5.44,12.27333333,2010.4583,0,6
7/1/2010,83.3,6.14,12.92258065,2010.5417,1,7
8/1/2010,83.6,8.25,12.40967742,2010.625,1,8
9/1/2010,81.1,4.27,10.61333333,2010.7083,0,9
10/1/2010,72.2,0.47,11.22580645,2010.7917,0,10
11/1/2010,64.9,2.06,11.01,2010.875,0,11
