Date,unmpl_fl,30ymtgR_fl,10yinfR,10ry_us,serv2debtsa_us,effmtgR_us,cnsmcrdtout_us,cnsmconf_fl,fedfund,hhdebt2inc,umpl_us,payroll_us,yc530,ois_us
2000-01-31,3.7,8.03,,4.3,11.602639,7.48,4.149999999999977,,5.87,95.34,4.07,0.228,-21.9,
2000-02-29,3.7,7.99,,4.29,11.602639,7.48,2.480000000000018,,5.85,95.34,4.07,0.111,-38.4,
2000-03-31,3.7,7.91,,4.0,11.581974,7.52,5.17999999999995,,6.17,95.23,4.03,0.484,-38.4,
2000-04-30,3.8,7.78,,3.97,11.581974,7.52,3.230000000000018,,6.06,95.23,4.03,0.279,-60.2,
2000-05-31,3.8,8.18,,4.17,11.581974,7.52,6.1200000000000045,,6.83,95.23,4.03,0.223,-33.75,
2000-06-30,3.8,7.79,,4.07,11.727593,7.57,7.2999999999999545,,6.86,95.43,3.93,-0.046,-24.65,
2000-07-31,3.8,7.74,,4.01,11.727593,7.57,7.769999999999982,,6.64,95.43,3.93,0.168,-30.8,
2000-08-31,3.8,7.58,,4.0,11.727593,7.57,9.090000000000032,,6.65,95.43,3.93,0.003,-16.7,
2000-09-30,3.7,7.49,,3.97,11.883636,7.63,5.980000000000018,,6.6,95.82,4.0,0.126,4.7,
2000-10-31,3.7,7.31,,3.85,11.883636,7.63,5.9500000000000455,,6.59,95.82,4.0,-0.005,-2.2,
2000-11-30,3.8,7.18,,3.8,11.883636,7.63,6.039999999999964,,6.62,95.82,4.0,0.201,19.55,
2000-12-31,3.8,6.79,,3.73,12.07207,7.65,8.659999999999968,,5.41,96.11,3.9,0.165,46.5,
2001-01-31,3.9,6.7,,3.505,12.07207,7.65,4.110000000000014,,5.74,96.11,3.9,-0.019,84.35,
2001-02-28,4.0,6.56,,3.339,12.07207,7.65,11.220000000000027,,5.59,96.11,3.9,0.087,70.4,
2001-03-31,4.0,6.65,,3.289,12.175219,7.56,4.579999999999927,,5.29,96.21,4.23,-0.035,89.15,
2001-04-30,4.1,6.79,,3.312,12.175219,7.56,4.8900000000001,,4.67,96.21,4.23,-0.296,94.5,
2001-05-31,4.2,6.87,,3.267,12.175219,7.56,2.1399999999999864,,4.24,96.21,4.23,-0.044,90.25,
2001-06-30,4.2,6.7,,3.448,12.386421,7.45,2.409999999999968,,3.95,98.2,4.4,-0.115,84.5,
